id,model,n,m,seed
0,BA,100,4,228084542
1,BA,100,4,1498359239
2,BA,100,4,2079115200
3,BA,100,4,1476299539
4,BA,100,4,987819986
5,BA,100,4,169624895
6,BA,100,4,389758688
7,BA,100,4,864338015
8,BA,100,4,816345828
9,BA,100,4,1753361395
10,BA,100,4,1621828291
11,BA,100,4,1314899181
12,BA,100,4,209368195
13,BA,100,4,961298153
14,BA,100,4,1653064113
15,BA,100,4,1115775878
16,BA,100,4,1832397965
17,BA,100,4,492919778
18,BA,100,4,1288526527
19,BA,100,4,1839972478
20,BA,100,4,1570356291
21,BA,100,4,2031273502
22,BA,100,4,1064565285
23,BA,100,4,424211008
24,BA,100,4,1250260465
25,BA,100,4,1893672638
26,BA,100,4,220203526
27,BA,100,4,694812793
28,BA,100,4,364252360
29,BA,100,4,1620035133
30,BA,100,4,84444714
31,BA,100,4,666344660
32,BA,100,4,1766575093
33,BA,100,4,1661468190
34,BA,100,4,244315215
35,BA,100,4,524478296
36,BA,100,4,506494519
37,BA,100,4,1226262459
38,BA,100,4,234433495
39,BA,100,4,2082650464
40,BA,100,4,1395886087
41,BA,100,4,653576102
42,BA,100,4,771739100
43,BA,100,4,1277967189
44,BA,100,4,1171442760
45,BA,100,4,1944814915
46,BA,100,4,1912534913
47,BA,100,4,1176637610
48,BA,100,4,1157009576
49,BA,100,4,1313858625
50,BA,100,4,224957111
51,BA,100,4,1519378571
52,BA,100,4,1242540054
53,BA,100,4,44622453
54,BA,100,4,421628758
55,BA,100,4,1170006343
56,BA,100,4,1735155518
57,BA,100,4,1574654351
58,BA,100,4,1596290415
59,BA,100,4,574062460
60,BA,100,4,1572968653
61,BA,100,4,1067206939
62,BA,100,4,1409235250
63,BA,100,4,515583025
64,BA,100,4,104460611
65,BA,100,4,671084618
66,BA,100,4,1020913620
67,BA,100,4,1912892995
68,BA,100,4,2081174663
69,BA,100,4,682621876
70,BA,100,4,19172646
71,BA,100,4,1727450991
72,BA,100,4,1012470508
73,BA,100,4,789213311
74,BA,100,4,1505818480
75,BA,100,4,619242995
76,BA,100,4,1752849064
77,BA,100,4,1762472092
78,BA,100,4,546434641
79,BA,100,4,695140757
80,BA,100,4,999351668
81,BA,100,4,1159808624
82,BA,100,4,33139419
83,BA,100,4,1142172920
84,BA,100,4,759147176
85,BA,100,4,540760928
86,BA,100,4,753324629
87,BA,100,4,878116181
88,BA,100,4,934237477
89,BA,100,4,2084115102
90,BA,100,4,2130495226
91,BA,100,4,1524145029
92,BA,100,4,1448737576
93,BA,100,4,197162220
94,BA,100,4,1888006210
95,BA,100,4,383807919
96,BA,100,4,482946947
97,BA,100,4,2013245396
98,BA,100,4,808845138
99,BA,100,4,1429360500
