id,model,n,m,seed
0,BA,100,4,405655916
1,BA,100,4,1623762803
2,BA,100,4,6752265
3,BA,100,4,1872247838
4,BA,100,4,2030021553
5,BA,100,4,1691946177
6,BA,100,4,1996960190
7,BA,100,4,1801379556
8,BA,100,4,41114772
9,BA,100,4,2000888385
10,BA,100,4,765682622
11,BA,100,4,841086643
12,BA,100,4,1237020885
13,BA,100,4,401270934
14,BA,100,4,1879613763
15,BA,100,4,1716944757
16,BA,100,4,300949167
17,BA,100,4,44192416
18,BA,100,4,1901263126
19,BA,100,4,1404540191
20,BA,100,4,126542821
21,BA,100,4,928845620
22,BA,100,4,1826164621
23,BA,100,4,1217580394
24,BA,100,4,197634976
25,BA,100,4,964559990
26,BA,100,4,1585850069
27,BA,100,4,2136536626
28,BA,100,4,974868289
29,BA,100,4,269375235
30,BA,100,4,2111742500
31,BA,100,4,1298604245
32,BA,100,4,1069603604
33,BA,100,4,1855623363
34,BA,100,4,1953321378
35,BA,100,4,465097729
36,BA,100,4,1202346656
37,BA,100,4,1436036464
38,BA,100,4,1585111236
39,BA,100,4,1234958129
40,BA,100,4,1626341048
41,BA,100,4,1186685246
42,BA,100,4,1862006444
43,BA,100,4,1413128949
44,BA,100,4,2046050506
45,BA,100,4,1247858633
46,BA,100,4,921324456
47,BA,100,4,84467087
48,BA,100,4,1816342632
49,BA,100,4,485687998
50,BA,100,4,503448596
51,BA,100,4,1760236326
52,BA,100,4,743257342
53,BA,100,4,1333402834
54,BA,100,4,2032778514
55,BA,100,4,1886294548
56,BA,100,4,1871142994
57,BA,100,4,1466382617
58,BA,100,4,1183263791
59,BA,100,4,947950672
60,BA,100,4,131624024
61,BA,100,4,1217428087
62,BA,100,4,759366355
63,BA,100,4,1274621248
64,BA,100,4,644959570
65,BA,100,4,109933812
66,BA,100,4,1635246564
67,BA,100,4,1864079505
68,BA,100,4,1251738610
69,BA,100,4,1612444229
70,BA,100,4,640565468
71,BA,100,4,1432844742
72,BA,100,4,484830616
73,BA,100,4,1160274532
74,BA,100,4,1619391076
75,BA,100,4,248767296
76,BA,100,4,89345367
77,BA,100,4,846262881
78,BA,100,4,188553276
79,BA,100,4,861299353
80,BA,100,4,1496605296
81,BA,100,4,1631283120
82,BA,100,4,599830982
83,BA,100,4,873234123
84,BA,100,4,105669035
85,BA,100,4,1942134837
86,BA,100,4,803335118
87,BA,100,4,1210122227
88,BA,100,4,1769715560
89,BA,100,4,403062471
90,BA,100,4,1897053477
91,BA,100,4,238601179
92,BA,100,4,490842989
93,BA,100,4,2091267324
94,BA,100,4,26570411
95,BA,100,4,50925699
96,BA,100,4,2099111511
97,BA,100,4,671562893
98,BA,100,4,599839585
99,BA,100,4,2002731532
